player.id,player.name,team.id.x,rating,position.id,xG,Goal,Shot,Shot_As,Cross,Block,Clearance,Dribble,Dispossessed,Duel,Foul_won,Foul_committed,Pressure,pass
5179,Daler Kuzyaev,796,6.2,21,0,0,0,0,0,0,0,1,0,0,0,0,1,13
5181,Yury Gazinskiy,796,7.3,9,0.01,0,1,1,3,0,2,1,0,0,1,0,0,44
5182,Aleksandr Samedov,796,7.3,17,0,0,0,4,2,0,0,1,2,2,2,2,1,44
5186,Denis Cheryshev,796,8,21,0.23,1,4,0,2,0,0,0,1,1,1,0,0,21
5193,Yuri Zhirkov,796,6.5,6,0,0,0,0,3,0,5,2,0,0,0,0,1,28
5194,Fyodor Smolov,796,6,23,0,0,0,0,0,0,0,1,0,3,0,1,1,7
5195,Artem Dzyuba,796,8.2,23,0.17,1,2,0,1,0,1,3,4,0,3,3,0,25
5677,Fedor Kudryashov,796,6.1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3531,Mohamed Salah,774,6.6,19,1.03,1,4,2,2,0,0,0,4,1,1,0,0,16
3536,Ramadan Sobhi,774,6.2,16,0,0,0,0,0,0,0,0,0,2,1,0,0,9
3568,Mohamed Naser Elsayed Elneny,774,5.9,9,0,0,0,2,2,0,1,0,1,0,0,0,0,18
4063,Ahmed Hegazi,774,7.3,5,0,0,0,0,0,0,7,2,0,0,1,1,1,34
5250,Ahmed Fathy Abdel Meneim Ibrahim,774,6,2,0,0,0,1,6,0,0,5,0,0,1,2,3,53
5251,Abdalla Mahmoud El Said Bekhit,774,6.8,17,0.01,0,1,4,2,0,1,1,0,0,1,0,0,59
5252,Marwan Mohsen,774,6.7,23,0.16,0,4,2,1,0,3,10,0,1,1,1,1,13
5253,Amr Medhat Warda,774,6.4,17,0.04,0,1,0,1,0,0,1,1,0,1,0,0,10
5254,Ali Gabr,774,6.3,3,0.02,0,1,0,1,0,7,4,0,0,0,2,2,22
5257,Mahmoud Abdul Monem Abdelhamid Soliman,774,6.1,24,0,0,0,0,1,0,0,1,0,0,0,0,1,2
5261,Mahmoud Ibrahim Hassan,774,6.8,21,0.15,0,3,0,4,0,1,2,5,2,0,3,1,21
5262,Tarek Hamed,774,6.4,12,0.02,0,1,0,2,0,1,2,0,0,1,1,1,46
5263,Mohamed Abdul Shafy Sayed Abouezeid,774,6.6,6,0,0,0,0,0,0,1,4,2,0,1,1,1,51
4319,Edinson Roberto Cavani Gomez,783,7.1,23,0.54,0,4,1,1,0,1,0,4,1,0,1,0,19
5246,Luis Alberto Suarez Diaz,783,7.5,23,0.63,1,6,2,1,0,1,0,3,0,3,3,0,20
5247,Nahitan Michel Nandez Acosta,783,6.4,13,0,0,0,0,0,0,0,0,2,0,0,0,0,10
5248,Jose Martin Caceres Silva,783,6.9,6,0.21,0,2,1,1,0,1,2,0,0,0,0,2,43
5249,Diego Roberto Godin Leal,783,6.9,5,0,0,0,0,2,0,2,2,1,1,1,1,2,41
5255,Matias Vecino Falero,783,6.7,13,0,0,0,0,2,0,0,3,1,1,1,2,2,52
5256,Cristian Gabriel Rodriguez Barrotti,783,6.4,21,0,0,0,1,2,0,0,1,0,1,0,1,1,11
5259,Jose Maria Gimenez de Vargas,783,7,3,0,0,0,0,0,0,2,2,0,0,0,1,2,58
5260,Rodrigo Bentancur Colman,783,7.1,15,0,0,0,0,1,0,1,4,0,2,1,1,4,68
5264,Guillermo Varela Olivera,783,6.7,2,0,0,0,2,2,0,2,2,0,1,1,1,2,40
5266,Lucas Torreira Di Pascua,783,6.7,11,0.02,0,1,0,1,0,1,0,2,1,0,0,0,18
5268,Carlos Andres Sanchez Arcosa,783,7.4,17,0.12,0,1,2,3,0,2,1,0,2,4,2,1,20
5717,Diego Sebastian Laxalt Suarez,783,6.2,21,0,0,0,1,0,0,0,0,0,1,0,0,0,13
5173,Abdullah Ibrahim Otayf,799,7,15,0,0,0,0,0,0,1,2,2,1,1,1,2,79
5178,Salman Mohammed Al Faraj,799,6.8,19,0,0,0,3,4,0,0,2,4,1,3,1,1,67
5183,Yasir Gharsan Al Shahrani,799,6.1,6,0.04,0,2,1,1,0,2,1,0,1,0,2,1,51
5184,Osama Abdulrezag Hawsawi,799,6.6,3,0,0,0,0,1,0,3,3,0,0,1,1,1,31
5185,Taisir Jabir Al Jassim,799,5.9,13,0,0,0,0,0,0,0,1,2,0,0,0,1,28
5187,Salem Mohammed Al Dawsari,799,7.2,21,0.01,0,1,2,1,0,0,2,9,2,2,4,2,51
5188,Hattan Babhir,799,6.3,17,0.09,0,2,0,0,0,0,0,6,0,1,0,0,27
5190,Fahad Mosaed Al Muwallad Al Harbi,799,5.9,23,0.03,0,1,0,0,0,0,0,2,2,1,1,0,5
5191,Mohammed Al Burayk,799,6.4,2,0.05,0,1,0,4,0,0,2,1,0,1,0,2,65
5196,Mohammad Ibrahim Al Sahlawi,799,5.9,23,0,0,0,1,0,0,0,0,1,1,0,0,0,4
5713,Mohammed Kanoo,799,6.3,17,0.03,0,1,0,1,0,0,1,0,0,0,1,1,8
5715,Ali Albulayhi,799,6.1,5,0,0,0,0,3,0,2,1,0,0,0,0,1,36
5716,Hussain Al Mogahwi,799,6.4,13,0,0,0,0,1,0,0,4,0,0,1,1,3,32
4319,Edinson Roberto Cavani Gomez,783,7.9,23,0.81,1,4,0,2,0,0,3,3,0,1,2,2,13
5246,Luis Alberto Suarez Diaz,783,8,24,0.09,1,1,1,0,0,0,0,0,0,2,0,0,17
5247,Nahitan Michel Nandez Acosta,783,7,12,0,0,0,0,3,0,0,4,1,1,3,2,2,30
5248,Jose Martin Caceres Silva,783,6.8,2,0.18,0,1,1,1,0,0,3,0,0,0,0,1,54
5249,Diego Roberto Godin Leal,783,7.5,5,0.11,0,2,0,0,0,5,1,0,0,3,1,1,44
5255,Matias Vecino Falero,783,7.1,16,0.01,0,1,1,0,0,0,4,0,0,1,3,1,61
5256,Cristian Gabriel Rodriguez Barrotti,783,6.4,14,0.05,0,2,0,1,0,0,3,0,0,1,0,0,4
5258,Giorgian Daniel De Arrascaeta Benedetti,783,7.1,19,0.33,0,1,3,0,0,0,1,0,1,1,0,1,15
5260,Rodrigo Bentancur Colman,783,6.3,19,0.32,0,2,0,1,0,0,2,2,2,1,6,2,23
5266,Lucas Torreira Di Pascua,783,7.4,10,0.03,0,1,1,2,0,3,1,1,0,3,0,0,53
5717,Diego Sebastian Laxalt Suarez,783,7,6,0.01,0,1,2,0,0,0,1,1,0,2,2,1,47
6297,Maximiliano Gomez Gonzalez,783,6.1,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6300,Sebastian Coates Nion,783,7.1,3,0,0,0,0,2,0,1,4,0,0,0,3,2,60
5170,Mario Figueira Fernandes,796,6.4,2,0,0,0,1,2,0,1,0,0,0,0,0,0,32
5171,Roman Zobnin,796,6.6,11,0.02,0,1,1,3,0,1,1,2,1,4,1,1,37
